TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,投诉状态,样本提示
0-5年,0,1341,320,0.23862788963460105,2.4213273676360925,无投诉,可观察
0-5年,1,626,369,0.5894568690095847,2.587859424920128,有投诉,可观察
10-15年,0,646,20,0.030959752321981424,3.611455108359133,无投诉,可观察
10-15年,1,246,34,0.13821138211382114,3.0853658536585367,有投诉,可观察
15-20年,0,433,24,0.05542725173210162,4.0,无投诉,可观察
15-20年,1,194,24,0.12371134020618557,3.0670103092783507,有投诉,可观察
20年以上,0,545,4,0.007339449541284404,3.6073394495412843,无投诉,可观察
20年以上,1,208,6,0.028846153846153848,3.6009615384615383,有投诉,可观察
5-10年,0,1061,72,0.06786050895381715,2.6409048067860508,无投诉,可观察
5-10年,1,330,75,0.22727272727272727,2.6424242424242426,有投诉,可观察
